recipe_id,figure_family,status,required_roles,optional_roles,default_width_cm,default_height_cm,qa_profile,source_evidence
forest_grouped_effect,forest / effect-size,production_recipe,"metric;estimate;lower;upper;group","panel",8.9,6.4,forest_ci_detail,"model_recovery.R"
forest_subgroup_effect,forest / effect-size,template_candidate,"metric;estimate;lower;upper;group","subgroup",12.0,7.0,forest_subgroup_detail,"effect size subgroup source patterns"
model_residual_diagnostic,model validation,production_recipe,"observed;predicted;residual;group","sample",12.0,6.5,model_residual_detail,"model validation residual scripts"
calibration_curve,model validation,template_candidate,"predicted;observed;group","bin;n",8.9,6.2,calibration_detail,"prediction calibration source patterns"
prediction_accuracy_heatmap,model validation,production_recipe,"metric;category;value","group",8.9,6.5,prediction_heatmap_detail,"model recovery heatmap patterns"
lollipop_grouped,lollipop / ranked dot,production_recipe,"category;value;group","label",8.9,7.0,lollipop_detail,"line_dot.R"
dumbbell_delta,dumbbell,production_recipe,"category;group;value","delta;label",8.9,7.0,dumbbell_detail,"dumbbell_stacked_bar.R"
ranking_labelled_lollipop,lollipop / ranked dot,template_candidate,"category;value","label",8.9,7.0,lollipop_label_detail,"ranked lollipop scripts"
upset_intersection_matrix,upset / set,optional_backend_recipe,"item;set;present","intersection",8.9,7.0,upset_detail,"ComplexUpset_plot.R;upsetR_plot.R"
set_size_bar_matrix,upset / set,reference_recipe,"item;set;present","category",8.9,7.0,set_matrix_detail,"set matrix fallback patterns"
network_edge_list_reference,network / sankey,optional_backend_recipe,"source;target;weight","node;group",8.9,7.0,network_detail,"network source scripts"
sankey_flow_reference,network / sankey,optional_backend_recipe,"source;target;weight","stage;group",8.9,7.0,sankey_detail,"sankey_networkD3_v1.R"
chord_adjacency_reference,circos / chord / sankey,optional_backend_recipe,"source;target;weight","group",8.9,7.0,chord_detail,"group_chord_bar.R"
circos_ring_reference,circos / chord / sankey,optional_backend_recipe,"chr;start;end;value","track;group",8.9,7.0,circos_ring_detail,"circlize source scripts"
spatial_point_map_reference,map / spatial,optional_backend_recipe,"longitude;latitude;value","group;count",8.9,7.0,spatial_point_detail,"map source scripts"
spatial_tile_map_reference,map / spatial,reference_recipe,"longitude;latitude;value","region",8.9,7.0,spatial_tile_detail,"spatial tile source scripts"
phylo_tree_segments_reference,phylo / tree,optional_backend_recipe,"node;parent;group","label",8.9,7.0,specialized_tree_detail,"tree-like reference scripts"
phylo_ring_annotation_reference,phylo / tree,optional_backend_recipe,"node;parent;group;value","track",8.9,7.0,phylo_ring_detail,"Figure1d.R"
multi_panel_shared_legend,multi-panel manuscript,template_candidate,"x;y;group;metric","panel",18.0,8.5,multi_panel_geometry_detail,"patchwork/cowplot layout patterns"
inset_scatter_reference,multi-panel manuscript,reference_recipe,"x;y;group","inset",8.9,6.2,inset_layout_detail,"inset source patterns"
paired_line_facet,paired comparison,production_recipe,"sample;group;value;metric","panel",12.0,6.5,paired_facet_detail,"paired_scatter.R"
